"boyle_1809WL0719-out" "boyle_1809WL0766-out" "boyle_1810WL0654-out" "boyle_1810WL0713-out" "boyle_1811WL0784-out" "boyle_1811WL0825-out" "boyle_1811WL0840-out" "boyle_1811WL0845-out" "boyle_1812WL0610-out" "boyle_1812WL0635-out" "boyle_1812WL0644-out" "boyle_1812WL0652-out" "boyle_1813WL0581-out" "boyle_1815WL0678-out" "boyle_1815WL0727-out" "boyle_1816WL0757-out" "boyle_1816WL0775-out" "boyle_1816WL0792-out" "boyle_1816WL0827-out" "boyle_1816WL1500-out" "boyle_1823WL1271-out" "boyle_1824WL1390-out" "boyle_1824WL1481-out" "boyle_1826WL1276-out" "boyle_1827WL2608-out" "mills_1820WL0991-out" "mills_1820WL1026-out" "mills_1820WL1136-out" "mills_1820WL1194-out" "mills_1821WL1059-out" "mills_1821WL1096-out" "mills_1821WL1121-out" "mills_1821WL1130-out" "mills_1821WL1170-out" "mills_1821WL1184-out" "mills_1821WL1195-out" "mills_1821WL1199-out" "mills_1821WL1217-out" "mills_1824WL1520-out" "mills_1824WL1848-out" "mills_1826WL1315-out" "mills_1826WL1327-out" "mills_1826WL1329-out" "mills_1826WL2186-out" "mills_1827WL1437-out" "mills_1827WL1473-out" "mills_1827WL1668-out" "mills_1827WL2588-out" "mills_1828WL1208-out" "mills_1828WL1323-out" "owsley_1812WL0618-out" "owsley_1813WL0589-out" "owsley_1814WL0796-out" "owsley_1815WL0639-out" "owsley_1815WL0708-out" "owsley_1815WL0762-out" "owsley_1816WL0730-out" "owsley_1816WL0736-out" "owsley_1816WL0802-out" "owsley_1816WL0838-out" "owsley_1816WL0845-out" "owsley_1817WL1055-out" "owsley_1817WL1070-out" "owsley_1817WL1106-out" "owsley_1819WL1147-out" "owsley_1819WL1810-out" "owsley_1820WL1131-out" "owsley_1820WL1172-out" "owsley_1820WL1178-out" "owsley_1821WL1037-out" "owsley_1821WL1108-out" "owsley_1821WL1194-out" "owsley_1826WL1286-out" "owsley_1827WL1457-out" "owsley_1827WL1632-out"
"the" 5.35714285714286 10.3 11.2375533428165 10.9090909090909 9.50266429840142 10.3448275862069 10.5345911949686 10.077519379845 14.365671641791 10.4950495049505 7.62800417972832 11.1771058315335 11.284046692607 10.6796116504854 12.1883656509695 8.62068965517241 9.59470636889992 11.3695090439276 10.9859154929577 13.1524008350731 6.68080593849417 9.8314606741573 12.8705712219812 11.0169491525424 7.6847074322099 8.67733782645324 9.3893832463946 7.89473684210526 6.84039087947883 9.85915492957746 6.27240143369176 11.5067079463364 8.86075949367089 9.05218317358892 8.35777126099707 9.32835820895522 9 8.23108384458078 6.80092439749092 6.45161290322581 7.80460415496912 7.86458333333333 7.29431721798134 8.57625686523025 8.32666132906325 11.7806364251862 7.48194014447884 6.30671506352087 8.80440220110055 6.88575899843505 10.6609808102345 7.42544126597687 11.7647058823529 5.48780487804878 9.39794419970631 8.95334174022699 9.34579439252336 6.72268907563025 9.10973084886128 10.7652399481193 9.78792822185971 9.79166666666667 9.73871733966746 8.46153846153846 6.05670103092783 8.16326530612245 7.82918149466192 9.9116781157998 10.5603448275862 11.8991331757289 8.76865671641791 8.46837428123366 8.83116883116883 10.1470588235294 9.11901081916538
"of" 3.57142857142857 3.2 3.55618776671408 5.15151515151515 5.59502664298401 2.75862068965517 4.08805031446541 4.8062015503876 6.71641791044776 6.13861386138614 4.80668756530825 5.29157667386609 6.80933852140078 4.43828016643551 4.70914127423823 1.72413793103448 4.46650124069479 4.65116279069767 4.22535211267606 4.38413361169102 3.60551431601273 2.24719101123596 4.12147505422993 3.57815442561205 3.88626633000329 3.95956192080876 4.72537588217245 4.82456140350877 4.99457111834962 4.32595573440644 5.37634408602151 4.437564499484 3.43580470162749 3.6741214057508 4.76539589442815 4.35323383084577 5 4.21779141104294 4.48993067018818 4.60829493087558 3.76193149915778 3.80208333333333 3.9440203562341 4.43599493029151 4.60368294635709 5.75490859851049 3.71517027863777 4.62794918330309 4.90245122561281 4.38184663536776 4.6908315565032 4.44309190505173 4.60358056265985 5.18292682926829 4.99265785609398 5.42244640605296 4.4392523364486 5.18207282913165 3.31262939958592 3.50194552529183 6.19902120717781 6.04166666666667 6.65083135391924 3.84615384615385 4.12371134020619 8.6734693877551 2.84697508896797 5.00490677134446 4.0948275862069 5.12214342001576 5.73694029850746 5.75013068478829 6.23376623376623 4.26470588235294 5.66718186501803
"to" 2.67857142857143 3.6 2.84495021337127 2.12121212121212 3.01953818827709 3.44827586206897 3.77358490566038 4.34108527131783 3.35820895522388 2.57425742574257 4.59770114942529 3.29373650107991 4.86381322957198 2.77392510402219 4.06278855032318 5.17241379310345 3.63937138130687 4.1343669250646 2.25352112676056 2.50521920668058 5.72640509013786 2.80898876404494 3.32610267534346 3.67231638418079 4.13876385991876 3.03285593934288 2.99171525007671 2.56892230576441 2.49728555917481 4.02414486921529 2.68817204301075 2.52837977296182 2.53164556962025 3.88711395101171 2.71260997067449 3.85572139303483 2 4.29447852760736 3.66457576758006 2.30414746543779 2.5828186412128 3.02083333333333 4.4529262086514 4.09801436417406 3.44275420336269 3.5883547731889 4.437564499484 3.40290381125227 3.75187593796898 3.44287949921753 2.82515991471215 3.71272063298844 4.0920716112532 4.57317073170732 1.61527165932452 3.02648171500631 4.55607476635514 4.06162464985994 4.96894409937888 3.24254215304799 3.4257748776509 2.5 2.85035629453682 2.30769230769231 3.09278350515464 1.53061224489796 1.42348754448399 4.2198233562316 5.06465517241379 2.67927501970055 3.07835820895522 4.0250914793518 2.33766233766234 3.38235294117647 4.99742400824317
"and" 1.78571428571429 3.1 2.98719772403983 2.72727272727273 3.90763765541741 0.689655172413793 2.67295597484277 2.01550387596899 1.67910447761194 1.58415841584158 3.34378265412748 2.26781857451404 2.52918287937743 2.08044382801664 3.23176361957525 1.72413793103448 2.1505376344086 2.84237726098191 1.69014084507042 1.25260960334029 3.28738069989396 3.65168539325843 3.61532899493854 2.16572504708098 3.53496541881655 4.04380791912384 3.16047867444001 2.75689223057644 2.71444082519001 2.21327967806841 4.12186379928315 3.71517027863777 3.07414104882459 3.3013844515442 2.71260997067449 2.7363184079602 3.25 3.42535787321063 3.23539121822384 3.07219662058372 4.37956204379562 3.95833333333333 4.07124681933842 2.53485424588086 3.76301040832666 3.4529451591063 4.85036119711042 3.40290381125227 3.50175087543772 2.34741784037559 2.02558635394456 3.9561777236762 2.0460358056266 4.8780487804878 2.93685756240822 2.39596469104666 3.27102803738318 2.38095238095238 1.65631469979296 2.85343709468223 2.12071778140294 2.08333333333333 2.37529691211401 0.769230769230769 1.80412371134021 1.02040816326531 4.27046263345196 2.15897939156035 3.34051724137931 3.23089046493302 2.47201492537313 2.14323052796654 3.37662337662338 2.20588235294118 3.19422977846471
"in" 0.892857142857143 1.8 2.56045519203414 3.63636363636364 0.976909413854352 2.75862068965517 2.0440251572327 3.56589147286822 2.05223880597015 2.97029702970297 1.98537095088819 1.34989200863931 3.11284046692607 2.08044382801664 2.77008310249307 2.58620689655172 1.90239867659222 3.10077519379845 4.50704225352113 1.46137787056367 1.90880169671262 3.37078651685393 1.87997107736804 2.35404896421846 1.87726424415413 2.78011794439764 1.85639766799632 4.44862155388471 1.95439739413681 2.16297786720322 2.32974910394265 2.83797729618163 1.08499095840868 1.97018104366347 1.97947214076246 2.11442786069652 1.625 1.48261758691207 1.68372400132057 2.45775729646697 2.5828186412128 1.82291666666667 1.52671755725191 1.22517955217575 2.00160128102482 1.6926201760325 1.49638802889577 1.72413793103448 2.75137568784392 1.56494522691706 1.86567164179104 2.55629945222155 1.27877237851662 1.52439024390244 3.37738619676946 2.01765447667087 2.45327102803738 1.96078431372549 2.48447204968944 1.2970168612192 3.4257748776509 1.66666666666667 3.56294536817102 1.15384615384615 1.54639175257732 1.53061224489796 2.13523131672598 2.06084396467125 2.69396551724138 2.91568163908589 2.70522388059702 2.50914793518035 2.33766233766234 3.23529411764706 1.95775373518805
"a" 6.25 1.3 0.85348506401138 0.909090909090909 0.88809946714032 6.89655172413793 2.83018867924528 2.48062015503876 0.932835820895522 0.99009900990099 2.92580982236155 1.34989200863931 3.11284046692607 1.80305131761442 0.923361034164358 2.58620689655172 1.40612076095947 0.516795865633075 3.66197183098592 0.835073068893528 1.27253446447508 1.40449438202247 1.37382501807664 2.16572504708098 1.61378856076408 2.86436394271272 1.50352868978214 0.68922305764411 1.1943539630836 1.50905432595573 3.76344086021505 1.75438596491228 1.44665461121157 1.6506922257721 1.46627565982405 2.61194029850746 2.375 1.68711656441718 1.81578078573787 1.53609831029186 2.18978102189781 2.44791666666667 2.29007633587786 0.929446556822983 1.36108887109688 2.5050778605281 1.08359133126935 2.26860254083485 1.35067533766883 2.19092331768388 2.66524520255864 0.730371272063299 1.0230179028133 3.04878048780488 1.76211453744493 1.00882723833544 2.2196261682243 3.22128851540616 2.48447204968944 1.68612191958495 1.95758564437194 1.875 3.56294536817102 4.61538461538461 1.80412371134021 0 2.84697508896797 1.76643768400393 1.18534482758621 2.44286840031521 2.65858208955224 2.09095661265029 1.21212121212121 1.61764705882353 0.824317362184441
"that" 1.78571428571429 1 3.69843527738265 1.81818181818182 0.799289520426288 2.06896551724138 0.786163522012579 0.930232558139535 2.23880597014925 0.792079207920792 1.88087774294671 1.18790496760259 0.778210116731518 2.08044382801664 2.03139427516159 0 2.23325062034739 2.0671834625323 0.563380281690141 1.25260960334029 2.54506892895016 1.96629213483146 1.59074475777296 1.88323917137476 1.61378856076408 1.17944397641112 1.6416078551703 1.94235588972431 3.04017372421281 1.50905432595573 0.537634408602151 1.54798761609907 1.62748643761302 1.81043663471778 0.733137829912023 1.3681592039801 1 2.63292433537832 1.51865302079894 0.768049155145929 1.62829870859068 2.29166666666667 1.69635284139101 1.94338825517533 1.24099279423539 1.8280297901151 1.59958720330237 1.58802177858439 1.85092546273137 1.87793427230047 2.61194029850746 1.03469263542301 1.0230179028133 0.304878048780488 0.734214390602056 0.882723833543506 1.05140186915888 1.5406162464986 0.62111801242236 0.907911802853437 0.978792822185971 0.416666666666667 0.475059382422803 1.15384615384615 1.28865979381443 1.53061224489796 0 1.4720314033366 0.646551724137931 1.18203309692671 1.30597014925373 1.62049137480397 1.12554112554113 0.441176470588235 1.33951571354972
"be" 1.78571428571429 1 1.5647226173542 1.21212121212121 1.33214920071048 2.06896551724138 1.10062893081761 1.55038759689922 0.559701492537313 1.98019801980198 1.04493207941484 1.13390928725702 1.94552529182879 2.77392510402219 1.20036934441367 1.72413793103448 1.57154673283706 3.35917312661499 1.97183098591549 1.87891440501044 1.59066808059385 1.68539325842697 1.87997107736804 1.31826741996234 1.58085410034032 1.2636899747262 1.44216017183185 1.69172932330827 1.085776330076 0.955734406438632 1.0752688172043 0.980392156862745 0.54249547920434 0.905218317358892 1.39296187683284 1.74129353233831 1 0.869120654396728 1.15549686365137 0.614439324116744 0.842223469960696 1.19791666666667 1.14503816793893 1.7743979721166 0.920736589271417 1.354096140826 0.928792569659443 1.497277676951 1.40070035017509 1.56494522691706 1.38592750533049 1.39987827145466 1.0230179028133 1.52439024390244 0.587371512481645 1.89155107187894 1.51869158878505 0.840336134453782 0.62111801242236 1.03761348897536 1.95758564437194 0.416666666666667 0.475059382422803 1.15384615384615 1.93298969072165 0.510204081632653 0.355871886120996 1.17762512266928 0.754310344827586 1.02442868400315 1.39925373134328 1.35912179822269 0.519480519480519 0.294117647058824 1.18495620814013
"is" 3.57142857142857 0.7 2.7027027027027 1.81818181818182 0.710479573712256 0.689655172413793 1.10062893081761 1.24031007751938 0.932835820895522 2.17821782178218 1.35841170323929 1.34989200863931 2.14007782101167 2.35783633841886 1.01569713758079 0 2.1505376344086 1.80878552971576 1.12676056338028 2.08768267223382 1.37857900318134 1.40449438202247 2.02458423716558 1.9774011299435 1.41618179822154 1.34793597304128 1.21202822951826 0.81453634085213 1.52008686210641 1.1569416498994 1.0752688172043 1.65118679050568 1.26582278481013 0.851970181043664 1.68621700879765 0.995024875621891 0.75 0.562372188139059 1.55166721690327 1.53609831029186 1.12296462661426 0.677083333333333 1.27226463104326 0.887198986058302 0.920736589271417 2.1665538253216 0.980392156862745 0.862068965517241 2.00100050025013 0.938967136150235 1.27931769722815 1.21728545343883 2.30179028132992 0 0.440528634361233 1.89155107187894 0.350467289719626 0.840336134453782 0.62111801242236 1.81582360570687 0.65252854812398 1.25 0.475059382422803 0.384615384615385 0.902061855670103 1.02040816326531 0.355871886120996 1.03042198233562 0.969827586206897 0.709219858156028 1.11940298507463 0.784108729743858 0.606060606060606 0.147058823529412 1.03039670273055
"by" 0.892857142857143 0.8 1.70697012802276 1.21212121212121 0.799289520426288 1.37931034482759 0.786163522012579 0.775193798449612 0.932835820895522 1.18811881188119 0.522466039707419 1.51187904967603 0.972762645914397 0.970873786407767 0.738688827331487 0.862068965517241 1.32340777502068 0.775193798449612 0.845070422535211 1.46137787056367 1.59066808059385 0.561797752808989 1.01229211858279 1.41242937853107 1.02096827313646 0.58972198820556 0.997238416692237 1.12781954887218 1.52008686210641 1.05633802816901 0.896057347670251 1.28998968008256 1.98915009041591 0.958466453674121 1.39296187683284 1.24378109452736 1.25 1.12474437627812 0.792340706503797 1.0752688172043 1.01066816395284 1.04166666666667 0.763358778625954 1.30967469370511 1.64131305044035 1.4218009478673 1.03199174406605 0.862068965517241 0.900450225112556 0.782472613458529 0.852878464818763 0.730371272063299 1.27877237851662 0.609756097560976 1.17474302496329 2.1437578814628 2.2196261682243 1.96078431372549 1.24223602484472 0.778210116731518 0.65252854812398 3.125 1.18764845605701 0.769230769230769 2.06185567010309 1.02040816326531 0.711743772241993 1.4720314033366 1.61637931034483 1.57604412923562 0.979477611940298 1.15002613695766 1.81818181818182 0.588235294117647 1.70015455950541
"for" 0 1.5 0.42674253200569 0.606060606060606 1.9538188277087 0.689655172413793 1.88679245283019 1.86046511627907 0.559701492537313 1.18811881188119 0.626959247648903 0.755939524838013 0.778210116731518 0.693481276005548 0.831024930747922 3.44827586206897 1.15798180314309 1.03359173126615 2.8169014084507 0.208768267223382 0.212089077412513 1.68539325842697 1.15690527838033 1.60075329566855 0.966077505763531 0.92670598146588 0.659711567965634 1.06516290726817 0.434310532030402 0.754527162977867 1.0752688172043 1.13519091847265 0.904159132007233 0.53248136315229 0.806451612903226 1.24378109452736 0.875 0.996932515337423 1.25453945196434 1.99692780337942 0.954519932622122 1.09375 1.82357930449534 1.26742712294043 1.64131305044035 0.812457684495599 1.23839009287926 1.63339382940109 0.850425212606303 1.40845070422535 1.33262260127932 1.88679245283019 1.79028132992327 0.609756097560976 1.3215859030837 1.38713745271122 0.233644859813084 1.26050420168067 1.44927536231884 2.20492866407263 0.65252854812398 0 0.475059382422803 1.53846153846154 1.15979381443299 2.04081632653061 1.42348754448399 0.883218842001963 1.07758620689655 0.709219858156028 1.39925373134328 1.0977522216414 1.2987012987013 2.5 1.28799587841319
"not" 0.892857142857143 0.7 1.84921763869132 0.909090909090909 0.177619893428064 0.689655172413793 0.628930817610063 0.62015503875969 1.67910447761194 1.78217821782178 1.04493207941484 0.539956803455723 1.16731517509728 2.49653259361997 0.923361034164358 0.862068965517241 1.32340777502068 1.29198966408269 0.845070422535211 0.835073068893528 1.16648992576882 1.12359550561798 1.30151843817787 1.41242937853107 0.889230431441432 0.92670598146588 1.02792267566738 0.56390977443609 1.085776330076 1.00603621730382 1.25448028673835 0.722394220846233 0.723327305605787 0.745473908413205 1.09970674486804 0.621890547263682 1.625 1.35480572597137 1.48563882469462 1.84331797235023 1.01066816395284 0.677083333333333 0.97540288379983 1.30967469370511 1.1208967173739 1.0832769126608 0.773993808049536 1.27041742286751 0.950475237618809 0.938967136150235 1.33262260127932 1.15642118076689 0.767263427109974 0.304878048780488 0.881057268722467 0.882723833543506 0.467289719626168 0.700280112044818 0.20703933747412 0.778210116731518 1.30505709624796 0.416666666666667 0.712589073634204 1.92307692307692 0.902061855670103 0 0.711743772241993 0.490677134445535 0.754310344827586 1.26083530338849 0.652985074626866 0.627286983795086 0.519480519480519 0.588235294117647 0.978876867594024
"it" 0.892857142857143 0.7 1.99146514935989 1.21212121212121 0.799289520426288 0 0.471698113207547 0.775193798449612 1.11940298507463 1.58415841584158 0.83594566353187 1.02591792656587 0.778210116731518 0.832177531206657 0.554016620498615 0.862068965517241 2.48138957816377 0.258397932816537 0.563380281690141 2.08768267223382 0.530222693531283 1.40449438202247 1.37382501807664 1.60075329566855 0.878252277966846 1.51642796967144 0.874501380791654 1.06516290726817 2.60586319218241 1.00603621730382 1.7921146953405 1.65118679050568 1.98915009041591 1.06496272630458 0.513196480938416 0.995024875621891 0.875 0.945807770961145 1.78276658963354 0 0.898371701291409 0.833333333333333 1.14503816793893 0.633713561470216 0.880704563650921 0.744752877454299 0.412796697626419 0.771324863883848 0.900450225112556 0.782472613458529 0.5863539445629 0.669506999391357 0.51150895140665 0.304878048780488 0.293685756240822 1.38713745271122 0.700934579439252 0.840336134453782 0.82815734989648 1.81582360570687 1.46818923327896 0.625 0.237529691211401 0.769230769230769 1.03092783505155 1.02040816326531 0 0.637880274779195 0.21551724137931 0.472813238770686 1.25932835820896 0.993204391008887 0.865800865800866 0.147058823529412 0.927357032457496
"was" 0.892857142857143 0.9 1.70697012802276 1.06060606060606 0.621669626998224 1.37931034482759 0.786163522012579 1.70542635658915 0.373134328358209 1.58415841584158 1.25391849529781 1.02591792656587 0.778210116731518 1.3869625520111 0.831024930747922 3.44827586206897 0.827129859387924 0.258397932816537 0.845070422535211 0.208768267223382 0.848356309650053 1.68539325842697 0.506146059291396 1.41242937853107 0.504995059830936 0.58972198820556 0.935869898741945 1.00250626566416 1.95439739413681 1.1569416498994 1.61290322580645 0.773993808049536 1.44665461121157 1.43769968051118 0.293255131964809 1.24378109452736 1.125 1.45705521472393 0.825354902608121 0.153609831029186 0.617630544637844 1.66666666666667 0.636132315521629 0.971694127587664 1.32105684547638 0.744752877454299 0.928792569659443 0.725952813067151 0.600300150075038 0.625978090766823 1.1727078891258 0.669506999391357 0.255754475703325 0.304878048780488 1.02790014684288 0.882723833543506 1.28504672897196 0.980392156862745 1.0351966873706 1.42671854734112 0.978792822185971 0 0.950118764845606 1.15384615384615 1.28865979381443 0.510204081632653 1.42348754448399 0.490677134445535 0.323275862068966 1.57604412923562 1.07276119402985 1.30684788290643 1.47186147186147 1.76470588235294 1.28799587841319
