"boyle_021-out" "boyle_022-out" "Dickens_Hard" "sneed_people"
"the" 10.8254397834912 11.8613138686131 3.86281796999865 7.1216925716068
"of" 5.14208389715832 7.02554744525547 2.4590321773122 5.12034100951292
"to" 4.0595399188092 4.56204379562044 2.7786871040419 3.04101471123356
"and" 2.16508795669824 3.1021897810219 3.081011341973 3.41009512917815
"in" 2.30040595399188 2.0985401459854 1.64352698773372 1.71544419608047
"a" 1.48849797023004 1.36861313868613 2.09701334463037 1.37235535686438
"that" 1.89445196211096 2.18978102189781 1.23433016887793 1.47632167177834
"is" 1.3531799729364 0.912408759124088 0.449635092719185 0.878515361023029
"be" 1.3531799729364 0.912408759124088 0.679748127322794 1.05005978063108
"by" 1.3531799729364 0.638686131386861 0.425564691610021 1.13843114830795
"not" 1.21786197564276 0.456204379562044 0.595020315418536 0.805738940583251
"for" 1.3531799729364 0.364963503649635 0.719223585141823 0.946093465717108
"it" 1.08254397834912 0.72992700729927 1.12360632377578 0.84212715080314
"was" 0.81190798376184 1.27737226277372 1.13419730026381 0.732962520143474
"as" 0.6765899864682 0.821167883211679 0.781806628025649 0.940895149971409
"on" 0.40595399188092 0.364963503649635 0.49873871098188 0.493839995841347
"this" 0.40595399188092 0.364963503649635 0.441932564364253 0.525029890315538
"his" 0.27063599458728 1.09489051094891 1.10627563497718 0.805738940583251
"or" 0.27063599458728 0.182481751824818 0.325431822995898 0.431460206892967
"which" 0.94722598105548 0.821167883211679 0.279216652866303 0.561418100535427
"court" 0 0 0.00192563208873313 0.525029890315538
"have" 0.6765899864682 0.72992700729927 0.724037665363656 0.545823153298331
"he" 0.6765899864682 1.36861313868613 1.04176696000462 0.738160835889172
"The" 0.81190798376184 0.456204379562044 0.244555275269107 0.363882102198888
"k" 0 0 0 0.0155949472370952
"an" 0.40595399188092 0.273722627737226 0.293658893531802 0.285907366013412
"with" 0.40595399188092 0.547445255474453 0.89638173730527 0.540624837552633
"from" 0.40595399188092 0.912408759124088 0.319654926729699 0.431460206892967
"at" 0.13531799729364 0.364963503649635 0.6248676127939 0.358683786453189
"had" 1.08254397834912 0.364963503649635 0.741368354162254 0.45225346987576
"been" 0.81190798376184 0.547445255474453 0.324469006951532 0.254717471539221
"land" 0 0.182481751824818 0.00866534439929907 0.0467848417112855
