"boyle_1811WL0800-out" "boyle_1811WL0875-out" "boyle_1813WL0672-out" "boyle_1816WL0749-out" "boyle_1816WL0804-out" "boyle_1816WL0857-out" "boyle_1823WL1245-out" "boyle_1823WL1277-out" "boyle_1825WL1210-out" "boyle_1826WL1283-out" "mills_1821WL1078-out" "mills_1821WL1160-out" "mills_1823WL1275-out" "mills_1826WL1312-out" "mills_1827WL1430-out" "mills_1827WL1468-out" "mills_1827WL1658-out" "mills_1827WL1678-out" "mills_1828WL1313-out" "mills_1828WL1326-out" "owsley_1815WL0729-out" "owsley_1816WL0780-out" "owsley_1818WL1295-out" "owsley_1820WL1109-out" "owsley_1821WL1072-out" "owsley_1821WL1172-out" "owsley_1826WL1253-out" "owsley_1826WL1285-out" "owsley_1828WL1236-out" "owsley_1828WL1289-out"
"the" 11.5214180206795 10.0456621004566 7.87746170678337 9.35779816513761 9.02439024390244 13.0081300813008 12.7625201938611 9.04522613065327 8.72844827586207 10.7692307692308 8.42064415987582 8.57142857142857 8.5978835978836 13 9.05466970387244 7.76766969909027 6.55021834061135 7.85123966942149 7.78210116731517 9.95085995085995 7.89865871833085 10.7375271149675 11.2903225806452 8.06451612903226 10.8021390374332 8.99280575539568 10.5305466237942 10.0638977635783 8.2129963898917 9.83425414364641
"of" 4.87444608567208 5.93607305936073 4.37636761487965 7.52293577981651 4.14634146341463 3.5230352303523 4.52342487883683 5.36013400335008 4.74137931034483 6.71328671328671 5.04462553356616 3.54285714285714 4.89417989417989 6.57142857142857 3.98633257403189 4.33869839048285 3.49344978165939 3.09917355371901 5.36964980544747 5.83538083538084 5.51415797317437 5.74837310195228 6.85483870967742 5.64516129032258 3.63636363636364 6.29496402877698 5.62700964630225 4.63258785942492 4.42238267148014 4.30939226519337
"to" 3.397341211226 3.76712328767123 5.68927789934355 1.65137614678899 3.17073170731707 3.5230352303523 4.76575121163166 4.43886097152429 2.26293103448276 2.51748251748252 3.18199456732635 3.54285714285714 3.43915343915344 2.42857142857143 3.41685649202733 2.58922323303009 2.62008733624454 3.61570247933884 2.17898832684825 3.99262899262899 2.9806259314456 3.36225596529284 2.01612903225806 3.2258064516129 3.9572192513369 1.2589928057554 4.98392282958199 3.03514376996805 3.15884476534296 3.86740331491713
"and" 2.21565731166913 2.1689497716895 2.62582056892779 2.93577981651376 2.31707317073171 2.1680216802168 3.39256865912763 2.51256281407035 1.93965517241379 2.37762237762238 3.80287155607295 3.31428571428571 3.04232804232804 2.14285714285714 3.98633257403189 3.70888733379986 2.18340611353712 4.95867768595041 4.3579766536965 3.62407862407862 3.27868852459016 1.95227765726681 2.01612903225806 2.41935483870968 2.88770053475936 3.23741007194245 2.97427652733119 5.03194888178914 2.79783393501805 3.53591160220994
"in" 3.69276218611521 2.73972602739726 1.31291028446389 2.01834862385321 2.80487804878049 1.8970189701897 2.82714054927302 2.76381909547739 1.40086206896552 2.7972027972028 2.25067908420644 2.4 2.24867724867725 2 3.41685649202733 2.30930720783765 3.05676855895197 2.99586776859504 2.33463035019455 2.57985257985258 2.83159463487332 3.470715835141 1.61290322580645 2.1505376344086 3.63636363636364 2.51798561151079 2.09003215434084 2.15654952076677 2.70758122743682 1.54696132596685
"a" 1.62481536189069 1.82648401826484 5.0328227571116 2.93577981651376 2.07317073170732 1.8970189701897 1.8578352180937 2.26130653266332 1.18534482758621 2.0979020979021 2.01785021342647 2.62857142857143 2.51322751322751 1.28571428571429 1.30979498861048 0.629811056682995 3.05676855895197 2.68595041322314 1.94552529182879 1.10565110565111 2.2354694485842 1.95227765726681 2.41935483870968 2.68817204301075 0.53475935828877 2.87769784172662 0.643086816720257 1.8370607028754 1.53429602888087 1.21546961325967
"that" 1.7725258493353 1.94063926940639 1.53172866520788 2.01834862385321 2.19512195121951 1.8970189701897 1.45395799676898 1.34003350083752 1.61637931034483 2.23776223776224 1.28055878928987 1.48571428571429 1.98412698412698 1.71428571428571 1.70842824601367 1.60951714485654 0.873362445414847 0.929752066115702 1.32295719844358 1.65847665847666 1.19225037257824 1.19305856832972 1.61290322580645 0.537634408602151 2.03208556149733 0.359712230215827 0.964630225080386 1.35782747603834 1.08303249097473 0.552486187845304
"is" 2.36336779911374 1.59817351598174 2.18818380743982 0.917431192660551 1.34146341463415 1.6260162601626 1.2924071082391 1.50753768844221 2.1551724137931 1.67832167832168 1.3581684128832 0.8 0.396825396825397 2 0.683371298405467 0.979706088173548 1.74672489082969 2.06611570247934 3.26848249027237 1.16707616707617 1.19225037257824 1.08459869848156 1.20967741935484 0.537634408602151 0.53475935828877 0.719424460431655 1.36655948553055 1.8370607028754 1.17328519855596 0.441988950276243
"by" 1.62481536189069 1.02739726027397 1.09409190371991 2.01834862385321 1.21951219512195 1.0840108401084 1.45395799676898 1.08877721943049 2.26293103448276 2.23776223776224 1.20294916569655 1.94285714285714 0.264550264550265 0.571428571428571 1.13895216400911 0.909727081875437 1.74672489082969 0.826446280991736 1.47859922178988 1.35135135135135 0.745156482861401 1.19305856832972 0 1.34408602150538 0.213903743315508 1.07913669064748 0.562700964630225 1.8370607028754 1.89530685920578 2.87292817679558
"be" 0.886262924667651 0.91324200913242 2.40700218818381 2.01834862385321 1.46341463414634 1.3550135501355 1.2924071082391 1.50753768844221 1.61637931034483 0.839160839160839 1.3581684128832 0.914285714285714 1.45502645502646 0.857142857142857 0.626423690205011 1.39958012596221 0.873362445414847 1.2396694214876 1.32295719844358 1.22850122850123 1.63934426229508 0.650759219088937 0.403225806451613 1.61290322580645 0.427807486631016 1.79856115107914 0.643086816720257 1.8370607028754 1.17328519855596 0.883977900552486
